FID,Shape,LocationID,Country,Location,Region,Latitude,Longitude,ElevM,File1,File2,File3,File4,BLD,CEC,CLYPPT,CRFVOL,DRAINFAO,EACKCL,NTO,ORCDRC,PHIHOX,SLTPPT,SNDPPT
86,"(13.7, -9.1)",15,ANGOLA,MAZOZO,Eastern and Southern Africa,-9.1,13.7,41,lat-9.125_long13.625.txt, , , ,1353,23,30,3,4,0.601499975,0.787999988,10,67,18,52
87,"(13.7, -9.1)",16,ANGOLA,MAZOZO EXPERIMENTAL STATION,Eastern and Southern Africa,-9.1,13.7,41,lat-9.125_long13.625.txt, , , ,1353,23,30,3,4,0.601499975,0.787999988,10,67,18,52
88,"(33.633, -8.867)",913,TANZANIA,INYALA,Eastern and Southern Africa,-8.867,33.633,1582,lat-8.875_long33.625.txt, , , ,1088,25,30,0,5,0.339000016,0.99425,15,59,26,44
89,"(16.333, -9.533)",14,ANGOLA,MALANGE,Eastern and Southern Africa,-9.533,16.333,1149,lat-9.625_long16.375.txt, , , ,1310,9,24,3,5,0.457500011,0.707749963,13,60,16,60
90,"(16.32, -9.52)",17,ANGOLA,POLIGNO-FLORESTA,Eastern and Southern Africa,-9.52,16.32,1162,lat-9.625_long16.375.txt, , , ,1343,7,19,1,5,1.285000086,0.681999981,9,58,15,66
91,"(33.935, -9.71)",524,MALAWI,BAKA,Eastern and Southern Africa,-9.71,33.935,477,lat-9.875_long33.875.txt,lat-9.625_long33.875.txt,lat-9.875_long34.125.txt,lat-9.625_long34.125.txt,1218,17,31,1,2,1.332499981,1.42750001,20,58,19,51
92,"(31.1, -10.1)",1023,ZAMBIA,KASAMA,Eastern and Southern Africa,-10.1,31.1,1352,lat-10.125_long31.125.txt, , , ,1210,7,29,2,5,0.828750014,0.917999983,13,57,14,57
93,"(31.1, -10.2)",1024,ZAMBIA,KASAMA MISANFU,Eastern and Southern Africa,-10.2,31.1,1377,lat-10.125_long31.125.txt, , , ,1333,6,25,2,5,0.863999963,0.776499987,11,54,20,55
94,"(31.1, -10.2)",1032,ZAMBIA,MISAMFU,Eastern and Southern Africa,-10.2,31.1,1377,lat-10.125_long31.125.txt, , , ,1333,6,25,2,5,0.863999963,0.776499987,11,54,20,55
95,"(15.12, -11.42)",8,ANGOLA,CELA,Eastern and Southern Africa,-11.42,15.12,1305,lat-11.375_long15.125.txt, , , ,1403,9,24,0,4,1,0.813499987,13,58,13,62
96,"(33.75, -10.983)",527,MALAWI,BOLERO,Eastern and Southern Africa,-10.983,33.75,1099,lat-10.875_long33.625.txt,lat-10.875_long33.875.txt, , ,1383,10,25,0,5,0.005275,0.690999985,8,56,8,67
97,"(33.917, -11.45)",532,MALAWI,LUNYANGWA,Eastern and Southern Africa,-11.45,33.917,1290,lat-11.375_long33.875.txt, , , ,1375,7,20,0,5,0,0.731000006,8,61,9,71
98,"(35.58, -10.66)",957,UGANDA,LIKONDESONGEA,Eastern and Southern Africa,-10.66,35.58,1026,lat-10.625_long35.625.txt, , , ,1335,9,24,7,5,0,0.976999998,13,63,9,67
99,"(28.53, -11.12)",1030,ZAMBIA,MANSA,Eastern and Southern Africa,-11.12,28.53,1070,lat-11.125_long28.625.txt, , , ,1355,8,24,0,4,1.154999971,0.676999986,12,53,19,58
100,"(15.83, -12.73)",9,ANGOLA,CHIANGA,Eastern and Southern Africa,-12.73,15.83,1693,lat-12.625_long15.875.txt, , , ,1345,10,35,5,5,1.179250002,1.069999933,16,56,15,50
101,"(33.5, -12.1)",534,MALAWI,MBAWA,Eastern and Southern Africa,-12.1,33.5,1357,lat-12.125_long33.375.txt,lat-12.125_long33.625.txt, , ,1425,4,23,0,5,0.0056,0.51849997,7,59,8,69
102,"(34.07, -13.13)",530,MALAWI,CHITALA,Eastern and Southern Africa,-13.13,34.07,769,lat-13.125_long34.125.txt, , , ,1308,10,23,4,6,0.708500028,1.674999952,22,58,11,67
103,"(34.58, -13.75)",538,MALAWI,SALIMA,Eastern and Southern Africa,-13.75,34.58,503,lat-13.875_long34.625.txt,lat-13.625_long34.625.txt, , ,1493,15,15,0,5,0.062024999,0.512000024,6,64,8,77
104,"(35.23, -13.3)",728,MOZAMBIQUE,LICHINGA,Eastern and Southern Africa,-13.3,35.23,1289,lat-13.375_long35.125.txt, , , ,1275,8,28,1,5,0.256249994,1.13499999,11,58,15,57
105,"(38.87, -13.24)",729,MOZAMBIQUE,MAPUPULO,Eastern and Southern Africa,-13.24,38.87,513,lat-13.125_long38.875.txt, , , ,1433,10,18,0,5,0.165749997,0.893249989,9,60,9,73
106,"(31.58, -13.16)",1031,ZAMBIA,MASUMBA,Eastern and Southern Africa,-13.16,31.58,605,lat-13.125_long31.625.txt, , , ,1358,12,18,0,4,0.261249989,0.86224997,10,61,17,65
107,"(32.39, -13.38)",1036,ZAMBIA,MSEKERA,Eastern and Southern Africa,-13.38,32.39,770,lat-13.375_long32.375.txt, , , ,1318,11,24,0,4,0.832000017,1.010749936,13,57,14,62
108,"(34.43, -14.17)",526,MALAWI,BEMBEKE,Eastern and Southern Africa,-14.17,34.43,1054,lat-14.125_long34.375.txt, , , ,1268,9,25,4,6,0.143250003,1.777500033,22,60,15,60
109,"(34.93, -14.08)",529,MALAWI,BWANJE,Eastern and Southern Africa,-14.08,34.93,474,lat-14.125_long34.875.txt, , , ,1333,24,29,3,3,0.949000001,1.248333335,19,65,18,54
110,"(33.63, -13.98)",531,MALAWI,CHITEDZE,Eastern and Southern Africa,-13.98,33.63,1140,lat-13.875_long33.625.txt, , , ,1443,7,18,0,5,0,0.995249987,19,59,14,69
111,"(35.6, -14.7)",533,MALAWI,MAKOKA,Eastern and Southern Africa,-14.7,35.6,856,lat-14.625_long35.625.txt, , , ,1395,6,20,2,5,0.003115,0.592999995,8,58,8,72
112,"(40.0, -14.91)",735,MOZAMBIQUE,NAMIALO,Eastern and Southern Africa,-14.91,40,193,lat-14.875_long39.875.txt,lat-14.875_long40.125.txt, , ,1373,13,26,0,5,0.401250005,0.892750025,14,64,15,60
113,"(28.37, -14.17)",1022,ZAMBIA,GOLDEN VALLEY,Eastern and Southern Africa,-14.17,28.37,1173,lat-14.125_long28.375.txt, , , ,1375,11,30,1,3,1.672500014,1.018749952,18,57,17,54
114,"(28.4, -14.2)",1040,ZAMBIA,ZAMSEED,Eastern and Southern Africa,-14.2,28.4,1178,lat-14.125_long28.375.txt, , , ,1425,6,22,1,3,0.665250003,0.675249994,10,57,18,61
115,"(28.4, -14.2)",1041,ZAMBIA,ZAMSEED FARM,Eastern and Southern Africa,-14.2,28.4,1178,lat-14.125_long28.375.txt, , , ,1425,6,22,1,3,0.665250003,0.675249994,10,57,18,61
116,"(13.43, -15.03)",10,ANGOLA,HUMPATA,Eastern and Southern Africa,-15.03,13.43,1890,lat-15.125_long13.375.txt, , , ,1405,10,19,0,5,0,1.172500014,24,57,13,68
117,"(35.07, -15.92)",528,MALAWI,BVUMBWE,Eastern and Southern Africa,-15.92,35.07,1172,lat-15.875_long35.125.txt, , , ,1298,11,39,0,6,0.609750032,1.138000011,13,53,15,46
118,"(34.62, -15.18)",539,MALAWI,TSANGANO,Eastern and Southern Africa,-15.18,34.62,1539,lat-15.125_long34.625.txt, , , ,1228,7,25,2,6,0.269749999,1.335000038,16,53,11,64
119,"(35.33, -15.38)",540,MALAWI,ZOMBA,Eastern and Southern Africa,-15.38,35.33,937,lat-15.375_long35.375.txt, , , ,1378,10,30,4,5,0.816249967,1.1875,11,59,20,51
120,"(39.28, -15.1)",736,MOZAMBIQUE,NAMPULA,Eastern and Southern Africa,-15.1,39.28,428,lat-15.125_long39.375.txt, , , ,1485,7,14,0,5,0.399500012,0.801999986,5,62,10,76
121,"(28.23, -15.17)",1025,ZAMBIA,KATUBA,Eastern and Southern Africa,-15.17,28.23,1114,lat-15.125_long28.125.txt, , , ,1443,10,19,1,4,1.042500019,0.642250001,9,60,17,63
122,"(27.45, -15.526)",1029,ZAMBIA,MAGOYE,Eastern and Southern Africa,-15.526,27.45,978,lat-15.625_long27.375.txt, , , ,1440,40,40,2,2,1.922500014,1.424999952,24,69,22,39
123,"(28.3, -15.5)",1034,ZAMBIA,MOUNT MAKULU,Eastern and Southern Africa,-15.5,28.3,1299,lat-15.625_long28.375.txt,lat-15.375_long28.375.txt, , ,1455,10,25,0,4,0.990249991,0.90474999,11,57,27,49
124,"(27.92, -15.767)",1037,ZAMBIA,NANGA,Eastern and Southern Africa,-15.767,27.92,978,lat-15.875_long27.875.txt, , , ,1440,18,31,0,3,0.996250033,1.046749949,12,61,22,47
125,"(34.92, -16.47)",536,MALAWI,NGABU,Eastern and Southern Africa,-16.47,34.92,91,lat-16.375_long34.875.txt, , , ,1403,23,38,0,3,0.075100005,1.05250001,14,69,11,51
126,"(33.59, -16.16)",724,MOZAMBIQUE,ANGONIA TETE,Eastern and Southern Africa,-16.16,33.59,145,lat-16.125_long33.625.txt, , , ,1415,19,29,12,3,0.49149999,1.555000067,11,67,20,52
127,"(38.26, -16.84)",731,MOZAMBIQUE,MOCUBA,Eastern and Southern Africa,-16.84,38.26,66,lat-16.875_long38.375.txt, , , ,1393,11,15,4,5,0.286500007,0.797999978,11,62,13,73
128,"(31.03, -17.08)",1049,ZIMBABWE,GLENDALE,Eastern and Southern Africa,-17.08,31.03,1284,lat-17.125_long31.125.txt, , , ,1495,9,22,4,5,0,0.563499987,8,61,14,65
129,"(35.58, -17.33)",732,MOZAMBIQUE,MORRUMBALA-ZAMBEZIA,Eastern and Southern Africa,-17.33,35.58,413,lat-17.375_long35.625.txt, , , ,1470,5,11,2,5,0,0.717750013,6,62,7,82
130,"(35.067, -17.45)",734,MOZAMBIQUE,MUTARARA,Eastern and Southern Africa,-17.45,35.067,42,lat-17.375_long35.125.txt, , , ,1378,28,39,6,2,0.809499979,2.387500048,25,66,21,41
131,"(19.72, -17.96)",754,NAMIBIA,RUNDA,Eastern and Southern Africa,-17.96,19.72,1107,lat-17.875_long19.625.txt, , , ,1490,4,7,0,5,0.016725,0.312250018,2,65,4,90
132,"(24.18, -17.28)",1038,ZAMBIA,SESHEKE,Eastern and Southern Africa,-17.28,24.18,994,lat-17.375_long24.125.txt, , , ,1478,10,17,7,5,0.347250015,0.833999991,9,58,16,67
133,"(31.317, -17.783)",1042,ZIMBABWE,ARCTURUS,Eastern and Southern Africa,-17.783,31.317,1375,lat-17.875_long31.375.txt, , , ,1455,9,24,4,5,0.351249993,0.788249969,12,57,21,55
134,"(31.1, -17.8)",1043,ZIMBABWE,AREX HARARE,Eastern and Southern Africa,-17.8,31.1,1513,lat-17.875_long31.125.txt, , , ,1363,12,47,4,5,1.190000057,1.039499998,15,56,20,33
135,"(31.05, -17.8)",1044,ZIMBABWE,ART FARM HARARE,Eastern and Southern Africa,-17.8,31.05,1250,lat-17.875_long31.125.txt, , , ,1428,12,48,4,5,1.36500001,1.242500067,16,56,21,30
136,"(31.1, -17.8)",1048,ZIMBABWE,DRSS HARARE,Eastern and Southern Africa,-17.8,31.1,1513,lat-17.875_long31.125.txt, , , ,1363,12,47,4,5,1.190000057,1.039499998,15,56,20,33
137,"(30.85, -17.7)",1050,ZIMBABWE,GWEBI,Eastern and Southern Africa,-17.7,30.85,1441,lat-17.625_long30.875.txt, , , ,1428,14,34,3,4,1.1875,0.989499986,15,61,24,42
138,"(31.05, -17.8)",1051,ZIMBABWE,HARARE,Eastern and Southern Africa,-17.8,31.05,1498,lat-17.875_long31.125.txt, , , ,1428,12,48,4,5,1.36500001,1.242500067,16,56,21,30
139,"(30.9, -18.32)",1052,ZIMBABWE,KADOMA,Eastern and Southern Africa,-18.32,30.9,1325,lat-18.375_long30.875.txt, , , ,1453,9,30,2,3,1.57249999,1.037500024,8,62,16,54
140,"(30.91, -17.51)",1058,ZIMBABWE,MAZOWE,Eastern and Southern Africa,-17.51,30.91,1370,lat-17.625_long30.875.txt, , , ,1415,11,31,3,5,0.047700003,1.194999933,17,58,22,48
141,"(31.2, -17.7)",1063,ZIMBABWE,RATTRAY,Eastern and Southern Africa,-17.7,31.2,1403,lat-17.625_long31.125.txt, , , ,1408,9,30,0,5,0.292250007,1.000750065,15,58,20,50
142,"(31.17, -17.67)",1064,ZIMBABWE,RATTRAY ARNOLD,Eastern and Southern Africa,-17.67,31.17,1458,lat-17.625_long31.125.txt, , , ,1440,7,23,0,4,0.282249987,0.713750005,9,58,17,61
143,"(31.2, -17.7)",1065,ZIMBABWE,RATTRAY FARM,Eastern and Southern Africa,-17.7,31.2,1403,lat-17.625_long31.125.txt, , , ,1408,9,30,0,5,0.292250007,1.000750065,15,58,20,50
144,"(31.24, -17.89)",1066,ZIMBABWE,RUWA,Eastern and Southern Africa,-17.89,31.24,1554,lat-17.875_long31.125.txt, , , ,1495,8,21,3,5,0.167999998,0.540500045,10,59,17,63
145,"(31.57, -17.32)",1068,ZIMBABWE,SHAMVA ZIM,Eastern and Southern Africa,-17.32,31.57,1106,lat-17.375_long31.625.txt, , , ,1338,10,28,8,6,0.546249986,1.417500019,18,60,17,56
146,"(25.65, -18.55)",79,BOTSWANA,PANDAMATENGA,Eastern and Southern Africa,-18.55,25.65,1071,lat-18.625_long25.625.txt, , , ,1443,33,40,7,4,0.073475003,1.107500076,11,70,22,39
147,"(33.22, -19.33)",741,MOZAMBIQUE,SUSSUNDENGA,Eastern and Southern Africa,-19.33,33.22,642,lat-19.375_long33.125.txt, , , ,1433,9,21,1,6,0.149607003,1.227499962,19,57,12,68
148,"(31.6, -18.8)",1056,ZIMBABWE,MARONDERA,Eastern and Southern Africa,-18.8,31.6,1084,lat-18.875_long31.625.txt, , , ,1495,4,14,1,5,0.463250011,0.59375,4,60,8,78
149,"(30.78, -19.83)",1054,ZIMBABWE,MAKAHOLI,Eastern and Southern Africa,-19.83,30.78,1207,lat-19.875_long30.875.txt, , , ,1533,4,12,8,6,0.071175002,0.409249991,5,63,10,78
150,"(30.78, -19.83)",1055,ZIMBABWE,MAKHOHOLI,Eastern and Southern Africa,-19.83,30.78,1207,lat-19.875_long30.875.txt, , , ,1533,4,12,8,6,0.071175002,0.409249991,5,63,10,78
151,"(28.5, -20.38)",1057,ZIMBABWE,MATOPOS,Eastern and Southern Africa,-20.38,28.5,1380,lat-20.375_long28.375.txt,lat-20.375_long28.625.txt, , ,1528,13,23,5,5,0.191199988,0.864750028,11,62,16,62
152,"(32.33, -20.35)",1067,ZIMBABWE,SAVE VALLEY,Eastern and Southern Africa,-20.35,32.33,443,lat-20.375_long32.375.txt, , , ,1525,11,20,0,4,0.124499999,0.625500023,7,66,13,68
153,"(31.58, -21.02)",1045,ZIMBABWE,CHIREDZI,Eastern and Southern Africa,-21.02,31.58,427,lat-21.125_long31.625.txt, , , ,1468,20,33,0,4,1.287500024,0.932999969,9,66,21,46
154,"(21.8, -24.0)",78,BOTSWANA,HUKUNTSI,Eastern and Southern Africa,-24,21.8,1140,lat-24.125_long21.875.txt,lat-23.875_long21.875.txt, , ,1465,9,18,5,4,0.016450001,0.330500007,4,76,11,72
155,"(26.517, -23.03)",80,BOTSWANA,PELOTSHETLHA,Eastern and Southern Africa,-23.03,26.517,1111,lat-23.125_long26.625.txt, , , ,1600,13,23,6,5,0.019125,0.721249998,5,66,12,65
156,"(30.33, -23.03)",884,SOUTH AFRICA REP.,LWAMONGO,Eastern and Southern Africa,-23.03,30.33,958,lat-23.125_long30.375.txt, , , ,1250,17,36,11,5,1.789999962,2.702500105,26,59,19,45
157,"(25.95, -24.57)",81,BOTSWANA,SEBELE,Eastern and Southern Africa,-24.57,25.95,995,lat-24.625_long25.875.txt, , , ,1653,8,18,5,5,0.045325,0.2685,3,63,11,72
158,"(26.0, -24.6)",82,BOTSWANA,SEBELE-LOWN,Eastern and Southern Africa,-24.6,26,979,lat-24.625_long25.875.txt,lat-24.625_long26.125.txt, , ,1613,7,16,3,5,0.060975,0.385749996,3,62,9,75
159,"(33.0, -24.53)",726,MOZAMBIQUE,CHOKWE,Eastern and Southern Africa,-24.53,33,32,lat-24.625_long32.875.txt,lat-24.625_long33.125.txt, , ,1453,15,31,0,3,0.703249991,0.811500013,9,65,19,50
160,"(34.75, -24.49)",737,MOZAMBIQUE,NHACOONGO,Eastern and Southern Africa,-24.49,34.75,107,lat-24.375_long34.625.txt,lat-24.375_long34.875.txt, , ,1475,8,16,4,5,2.095000029,1.159999967,13,52,14,70
161,"(25.47, -25.48)",77,BOTSWANA,GOODHOPE,Eastern and Southern Africa,-25.48,25.47,1268,lat-25.375_long25.375.txt, , , ,1585,8,19,4,5,0.034649998,0.533749998,5,66,12,68
162,"(31.06, -25.79)",864,SOUTH AFRICA,BARBERTON,Eastern and Southern Africa,-25.79,31.06,979,lat-25.875_long31.125.txt, , , ,1080,15,32,5,5,1.287500024,1.502500057,16,59,20,49
163,"(30.97, -25.47)",871,SOUTH AFRICA,NELSPRUIT MPUMALANGA,Eastern and Southern Africa,-25.47,30.97,671,lat-25.375_long30.875.txt, , , ,1343,12,22,6,4,0.788749993,1.477499962,11,61,18,61
164,"(31.2, -25.2)",880,SOUTH AFRICA REP.,EZOLIMO,Eastern and Southern Africa,-25.2,31.2,583,lat-25.125_long31.125.txt, , , ,1418,7,14,3,5,0.447750002,0.981000006,8,60,11,75
165,"(30.97, -25.47)",881,SOUTH AFRICA REP.,FRIEDENHEI,Eastern and Southern Africa,-25.47,30.97,671,lat-25.375_long30.875.txt, , , ,1343,12,22,6,4,0.788749993,1.477499962,11,61,18,61
166,"(30.97, -25.47)",885,SOUTH AFRICA REP.,NELSPRUIT,Eastern and Southern Africa,-25.47,30.97,671,lat-25.375_long30.875.txt, , , ,1343,12,22,6,4,0.788749993,1.477499962,11,61,18,61
167,"(25.12, -26.28)",887,SOUTH AFRICA REP.,SETLAGOLE,Eastern and Southern Africa,-26.28,25.12,1231,lat-26.375_long25.125.txt, , , ,1580,9,15,4,5,0,0.650749981,1,66,10,75
168,"(31.505, -26.281)",895,SWAZILAND,LUVE,Eastern and Southern Africa,-26.281,31.505,513,lat-26.375_long31.625.txt, , , ,1390,9,22,6,5,0.625750005,0.934000015,15,59,13,65
169,"(27.1, -26.7)",875,SOUTH AFRICA,POTCHESFTROOM,Eastern and Southern Africa,-26.7,27.1,1341,lat-26.625_long27.125.txt, , , ,1428,10,23,1,4,0.492749989,1.495000005,11,60,18,59
170,"(26.9, -27.2)",877,SOUTH AFRICA,VILJOONSKROON,Eastern and Southern Africa,-27.2,26.9,1341,lat-27.125_long26.875.txt, , , ,1540,5,17,1,5,0,0.686249971,5,59,7,76
171,"(27.07, -26.67)",886,SOUTH AFRICA REP.,POTCHEFSTROOM,Eastern and Southern Africa,-26.67,27.07,1382,lat-26.625_long27.125.txt, , , ,1385,11,24,4,4,0.279249996,1.194999933,11,59,13,63
172,"(31.93, -26.82)",892,SWAZILAND,BIG-BEND,Eastern and Southern Africa,-26.82,31.93,115,lat-26.875_long31.875.txt, , , ,1360,20,39,3,4,0.331750005,1.187000036,25,64,13,48
173,"(31.165, -26.553)",896,SWAZILAND,MALKERNS,Eastern and Southern Africa,-26.553,31.165,747,lat-26.625_long31.125.txt, , , ,1203,10,37,8,5,1.083999991,1.817499995,25,56,18,46
174,"(30.85, -26.57)",897,SWAZILAND,MANGCONGO,Eastern and Southern Africa,-26.57,30.85,1435,lat-26.625_long30.875.txt, , , ,1165,10,37,5,5,1.567499995,2.13499999,22,56,15,48
175,"(31.216, -27.11)",898,SWAZILAND,NHLANGANO,Eastern and Southern Africa,-27.11,31.216,1065,lat-27.125_long31.125.txt, , , ,1338,9,35,1,5,0.236499995,1.230000019,16,57,16,49
176,"(28.33, -28.25)",878,SOUTH AFRICA REP.,BETLEHEM,Eastern and Southern Africa,-28.25,28.33,1682,lat-28.375_long28.375.txt,lat-28.125_long28.375.txt, , ,1433,8,23,0,4,0.377249986,1.412500024,11,57,21,56
177,"(28.05, -28.88)",513,LESOTHO,LERIBE,Eastern and Southern Africa,-28.88,28.05,1621,lat-28.875_long28.125.txt, , , ,1370,8,24,1,4,1.355000019,1.264999986,13,57,20,57
178,"(27.917, -29.367)",515,LESOTHO,MACHACHE,Eastern and Southern Africa,-29.367,27.917,2337,lat-29.375_long27.875.txt, , , ,1120,28,30,9,5,4.287499905,1.940000057,32,61,23,47
179,"(28.05, -28.88)",516,LESOTHO,MAHOBONG,Eastern and Southern Africa,-28.88,28.05,1621,lat-28.875_long28.125.txt, , , ,1370,8,24,1,4,1.355000019,1.264999986,13,57,20,57
180,"(27.5, -29.28)",517,LESOTHO,MASERU,Eastern and Southern Africa,-29.28,27.5,1503,lat-29.375_long27.375.txt,lat-29.375_long27.625.txt, , ,1245,9,27,3,3,0.537250042,1.212500095,10,68,20,53
181,"(27.78, -29.55)",520,LESOTHO,NYAKOSOBA,Eastern and Southern Africa,-29.55,27.78,1942,lat-29.625_long27.875.txt, , , ,1175,25,33,10,5,2.985000134,1.622499943,24,62,21,46
182,"(27.75, -29.15)",521,LESOTHO,TEYATEYANENG,Eastern and Southern Africa,-29.15,27.75,1688,lat-29.125_long27.625.txt,lat-29.125_long27.875.txt, , ,1390,11,23,0,5,1.479749918,0.792750001,14,54,22,55
183,"(30.58, -29.07)",873,SOUTH AFRICA,PANNAR GRAYTOWN,Eastern and Southern Africa,-29.07,30.58,1124,lat-29.125_long30.625.txt, , , ,1300,14,35,4,5,0.905250013,1.152500033,18,58,17,49
184,"(30.6, -29.02)",882,SOUTH AFRICA REP.,GREYTOWN,Eastern and Southern Africa,-29.02,30.6,1288,lat-29.125_long30.625.txt, , , ,1160,15,37,6,5,1.360000014,2.847500086,38,54,20,43
