FID,FID_1,ObjectID,locationid,country,location,region,latitude,longitude,elevm,InStudy,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,OBJECTID_1,Id,gridcode,Shape_Leng,Shape_Area
88,13,14,78,BOTSWANA,HUKUNTSI,Eastern and Southern Africa,-24,21.8,1140,master only (1),0,0,1,0,0,1,0,0,0,"1,946","1,946",7,71.34997231,48.95345964
89,53,54,864,SOUTH AFRICA,BARBERTON,Eastern and Southern Africa,-25.79,31.06,979,master only (1),0,0,0,0,1,1,0,0,0,"1,955","1,955",9,11.24110997,1.048682221
90,58,59,881,SOUTH AFRICA REP.,FRIEDENHEI,Eastern and Southern Africa,-25.47,30.97,671,master only (1),0,1,1,0,0,0,0,0,0,"1,955","1,955",9,11.24110997,1.048682221
91,61,62,885,SOUTH AFRICA REP.,NELSPRUIT,Eastern and Southern Africa,-25.47,30.97,671,master only (1),0,0,0,0,1,1,0,0,0,"1,955","1,955",9,11.24110997,1.048682221
92,64,65,896,SWAZILAND,MALKERNS,Eastern and Southern Africa,-26.553,31.165,747,master only (1),0,0,0,0,1,1,1,1,0,"1,955","1,955",9,11.24110997,1.048682221
93,66,67,898,SWAZILAND,NHLANGANO,Eastern and Southern Africa,-27.11,31.216,1065,master only (1),0,0,0,1,1,0,0,0,0,"1,955","1,955",9,11.24110997,1.048682221
94,149,150,871,SOUTH AFRICA,NELSPRUIT MPUMALANGA,Eastern and Southern Africa,-25.47,30.97,671,0,0,0,0,0,0,0,0,0,0,"1,955","1,955",9,11.24110997,1.048682221
95,65,66,897,SWAZILAND,MANGCONGO,Eastern and Southern Africa,-26.57,30.85,1435,master only (1),0,0,0,0,0,0,1,1,0,"1,974","1,974",13,13.18321363,1.864200376
96,5,6,11,ANGOLA,KILOMBA,Eastern and Southern Africa,-8.9,14.7,514,master only (1),0,0,0,0,1,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
97,6,7,12,ANGOLA,KILOMBO,Eastern and Southern Africa,-8.91,14.73,766,master only (1),0,0,0,0,1,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
98,8,9,15,ANGOLA,MAZOZO,Eastern and Southern Africa,-9.1,13.7,41,master only (1),0,1,1,0,1,1,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
99,9,10,16,ANGOLA,MAZOZO EXPERIMENTAL STATION,Eastern and Southern Africa,-9.1,13.7,41,master only (1),0,1,0,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
100,33,34,526,MALAWI,BEMBEKE,Eastern and Southern Africa,-14.17,34.43,1054,master only (1),0,0,0,0,0,1,1,1,0,"2,027","2,027",8,274.7259744,143.5489838
101,36,37,529,MALAWI,BWANJE,Eastern and Southern Africa,-14.08,34.95,474,master only (1),0,0,0,0,0,0,1,1,1,"2,027","2,027",8,274.7259744,143.5489838
102,38,39,531,MALAWI,CHITEDZE,Eastern and Southern Africa,-13.98,33.63,1140,master only (1),0,1,1,1,1,1,1,1,1,"2,027","2,027",8,274.7259744,143.5489838
103,40,41,533,MALAWI,MAKOKA,Eastern and Southern Africa,-14.7,35.6,856,master only (1),0,1,1,1,1,1,1,1,1,"2,027","2,027",8,274.7259744,143.5489838
104,42,43,536,MALAWI,NGABU,Eastern and Southern Africa,-16.47,34.92,91,master only (1),0,1,1,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
105,43,44,538,MALAWI,SALIMA,Eastern and Southern Africa,-13.75,34.58,503,master only (1),0,0,0,0,1,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
106,45,46,724,MOZAMBIQUE,ANGONIA TETE,Eastern and Southern Africa,-16.16,33.59,145,master only (1),0,1,1,1,1,1,1,1,1,"2,027","2,027",8,274.7259744,143.5489838
107,46,47,726,MOZAMBIQUE,CHOKWE,Eastern and Southern Africa,-24.53,33,32,master only (1),0,1,1,1,1,1,1,1,1,"2,027","2,027",8,274.7259744,143.5489838
108,48,49,729,MOZAMBIQUE,MAPUPULO,Eastern and Southern Africa,-13.24,38.87,513,master only (1),0,0,0,0,0,0,0,0,1,"2,027","2,027",8,274.7259744,143.5489838
109,57,58,880,SOUTH AFRICA REP.,EZOLIMO,Eastern and Southern Africa,-25.2,31.2,583,master only (1),1,1,1,1,1,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
110,60,61,884,SOUTH AFRICA REP.,LWAMONGO,Eastern and Southern Africa,-23.03,30.33,958,master only (1),0,1,1,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
111,94,95,1022,ZAMBIA,GOLDEN VALLEY,Eastern and Southern Africa,-14.17,28.37,1173,master only (1),0,1,1,1,1,1,1,1,1,"2,027","2,027",8,274.7259744,143.5489838
112,97,98,1029,ZAMBIA,MAGOYE,Eastern and Southern Africa,-15.526,27.45,978,master only (1),0,1,1,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
113,98,99,1031,ZAMBIA,MASUMBA,Eastern and Southern Africa,-13.16,31.58,605,master only (1),0,1,1,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
114,101,102,1036,ZAMBIA,MSEKERA,Eastern and Southern Africa,-13.38,32.39,770,master only (1),0,1,1,1,1,1,1,1,1,"2,027","2,027",8,274.7259744,143.5489838
115,102,103,1037,ZAMBIA,NANGA,Eastern and Southern Africa,-15.767,27.92,978,master only (1),0,1,1,0,0,1,1,1,1,"2,027","2,027",8,274.7259744,143.5489838
116,103,104,1040,ZAMBIA,ZAMSEED,Eastern and Southern Africa,-14.2,28.4,1178,master only (1),0,1,1,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
117,108,109,1045,ZIMBABWE,CHIREDZI,Eastern and Southern Africa,-21.02,31.58,427,master only (1),0,1,1,0,1,1,1,1,1,"2,027","2,027",8,274.7259744,143.5489838
118,113,114,1054,ZIMBABWE,MAKAHOLI,Eastern and Southern Africa,-19.83,30.78,1207,master only (1),0,1,1,0,0,1,1,1,1,"2,027","2,027",8,274.7259744,143.5489838
119,114,115,1055,ZIMBABWE,MAKHOHOLI,Eastern and Southern Africa,-19.83,30.78,1207,master only (1),1,1,1,1,1,1,1,1,1,"2,027","2,027",8,274.7259744,143.5489838
120,121,122,1067,ZIMBABWE,SAVE VALLEY,Eastern and Southern Africa,-20.35,32.33,443,master only (1),0,0,1,0,1,1,0,1,0,"2,027","2,027",8,274.7259744,143.5489838
121,122,123,1068,ZIMBABWE,SHAMVA ZIM,Eastern and Southern Africa,-17.32,31.57,1106,master only (1),0,0,0,0,0,1,1,0,0,"2,027","2,027",8,274.7259744,143.5489838
122,124,125,13,ANGOLA,KILOMBO EXPERIMENTAL STATION,Eastern and Southern Africa,-8.9,14.7,514,0,0,0,0,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
123,125,126,79,BOTSWANA,PANDAMATENGA,Eastern and Southern Africa,-18.55,25.65,1071,0,0,0,0,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
124,145,146,754,NAMIBIA,RUNDA,Eastern and Southern Africa,-17.96,19.72,1107,0,0,0,0,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
125,153,154,892,SWAZILAND,BIG-BEND,Eastern and Southern Africa,-26.82,31.93,115,0,0,0,0,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
126,155,156,895,SWAZILAND,LUVE,Eastern and Southern Africa,-26.281,31.505,513,0,0,0,0,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
127,172,173,1025,ZAMBIA,KATUBA,Eastern and Southern Africa,-15.17,28.23,1114,0,0,0,0,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
128,177,178,1038,ZAMBIA,SESHEKE,Eastern and Southern Africa,-17.28,24.18,994,0,0,0,0,0,0,0,0,0,0,"2,027","2,027",8,274.7259744,143.5489838
129,28,29,515,LESOTHO,MACHACHE,Eastern and Southern Africa,-29.367,27.917,2337,master only (1),0,1,1,0,0,1,1,1,1,"2,097","2,097",13,0.769672498,0.02777779
130,27,28,513,LESOTHO,LERIBE,Eastern and Southern Africa,-28.88,28.05,1621,master only (1),0,1,1,0,1,1,0,0,0,"2,265","2,265",5,70.51223752,26.32593857
131,29,30,516,LESOTHO,MAHOBONG,Eastern and Southern Africa,-28.88,28.05,1621,master only (1),0,1,1,0,0,1,1,1,1,"2,265","2,265",5,70.51223752,26.32593857
132,30,31,517,LESOTHO,MASERU,Eastern and Southern Africa,-29.28,27.5,1503,master only (1),1,1,1,0,1,1,1,0,0,"2,265","2,265",5,70.51223752,26.32593857
133,31,32,520,LESOTHO,NYAKOSOBA,Eastern and Southern Africa,-29.55,27.78,1942,master only (1),0,0,0,0,0,0,0,1,1,"2,265","2,265",5,70.51223752,26.32593857
134,54,55,875,SOUTH AFRICA,POTCHESFTROOM,Eastern and Southern Africa,-26.7,27.1,1341,master only (1),0,1,1,0,0,0,0,0,0,"2,265","2,265",5,70.51223752,26.32593857
135,55,56,877,SOUTH AFRICA,VILJOONSKROON,Eastern and Southern Africa,-27.2,26.9,1341,master only (1),0,1,1,0,0,0,0,0,0,"2,265","2,265",5,70.51223752,26.32593857
136,56,57,878,SOUTH AFRICA REP.,BETLEHEM,Eastern and Southern Africa,-28.25,28.33,1682,master only (1),0,1,1,0,0,0,0,0,0,"2,265","2,265",5,70.51223752,26.32593857
137,59,60,882,SOUTH AFRICA REP.,GREYTOWN,Eastern and Southern Africa,-29.02,30.6,1288,master only (1),1,1,1,1,1,1,0,1,1,"2,265","2,265",5,70.51223752,26.32593857
138,62,63,886,SOUTH AFRICA REP.,POTCHEFSTROOM,Eastern and Southern Africa,-26.67,27.07,1382,master only (1),0,1,1,0,1,1,0,0,0,"2,265","2,265",5,70.51223752,26.32593857
139,63,64,887,SOUTH AFRICA REP.,SETLAGOLE,Eastern and Southern Africa,-26.28,25.12,1231,master only (1),0,1,1,0,0,0,0,0,0,"2,265","2,265",5,70.51223752,26.32593857
140,131,132,521,LESOTHO,TEYATEYANENG,Eastern and Southern Africa,-29.15,27.75,1688,0,0,0,0,0,0,0,0,0,0,"2,265","2,265",5,70.51223752,26.32593857
141,0,1,6,ANGOLA,CABINDA,Eastern and Southern Africa,-5.6,12.2,22,master only (1),0,0,0,1,1,1,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
142,11,12,18,ANGOLA,ST. VINCENT,Eastern and Southern Africa,-5.57,12.2,57,master only (1),0,1,1,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
143,123,124,5,ANGOLA,ANGOLA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
144,127,128,210,CONGO,TSHIBATI,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
145,130,131,299,ETHIOPIA,NULL,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
146,132,133,525,MALAWI,BAKA RESEARCH STATION,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
147,133,134,535,MALAWI,MPHIMBI,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
148,134,135,537,MALAWI,NOT IDENTIFIED,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
149,137,138,733,MOZAMBIQUE,MOZAMBIQUE,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
150,140,141,740,MOZAMBIQUE,SEMOL,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
151,141,142,742,MOZAMBIQUE,UMBELUZI,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
152,142,143,743,MOZAMBIQUE,USSUDENGA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
153,143,144,752,NAMIBIA,MASHARE,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
154,144,145,753,NAMIBIA,MITKOMST RESEARCH STATION,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
155,146,147,867,SOUTH AFRICA,FREIDENHEIM VALLEY,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
156,147,148,868,SOUTH AFRICA,FRIEDENHEIM VALLEY,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
157,148,149,870,SOUTH AFRICA,MPUMALANGA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
158,151,152,874,SOUTH AFRICA,PETIT,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
159,152,153,876,SOUTH AFRICA,TSHIOMBO,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
160,154,155,893,SWAZILAND,LES,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
161,156,157,899,SWAZILAND,SHEWULA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
162,157,158,900,SWAZILAND,SWAZILAND,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
163,158,159,906,TANZANIA,ARUSHA SEED FARM AFSF,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
164,164,165,930,TANZANIA,TANZANIA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
165,166,167,951,UGANDA,BULEGENI,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
166,167,168,952,UGANDA,BULENGENI,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
167,169,170,959,UGANDA,MSK,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
168,170,171,965,UGANDA,UGANDA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
169,171,172,1021,ZAMBIA,CHISAMBA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
170,173,174,1026,ZAMBIA,KUTUMANI,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
171,174,175,1027,ZAMBIA,LYEMPE,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
172,175,176,1028,ZAMBIA,MAGOBO,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
173,178,179,1039,ZAMBIA,ZAMBIA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
174,181,182,1060,ZIMBABWE,PANNAR,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
175,182,183,1061,ZIMBABWE,PIONEER,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
176,184,185,1069,ZIMBABWE,ZIMBABWE,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
177,96,97,1024,ZAMBIA,KASAMA, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,104,105,1041,ZAMBIA,ZAMSEED, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,106,107,1043,ZIMBABWE,AREX, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,107,108,1044,ZIMBABWE,ART FARM, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,109,110,1048,ZIMBABWE,DRSS, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,150,151,873,SOUTH AFRICA,PANNAR, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,168,169,957,UGANDA,LIKONDE, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,179,180,1046,ZIMBABWE,CIMMYT, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
